Sample	CultureType	UFCAvg	SD
P1.1X	Control	5850	919,238815542512
P4.3X	Control	505000	205060,966544099
P4.7X	Control	20050	3323,40187157677
M13.5A	Control	45000	35355,3390593274
M13.7X	Control	2980000	933380,951166243
M11.3X	Control	106000	29698,484809835
P4.10X	Control	112000	11313,7084989848
CS5.4X	Control	4000	2404,16305603426
CS6.2X	Control	38000	21213,2034355964
M12.2X	Control	31500	10606,6017177982
P12.4X	Control	2375000	487903,679018718
P12.5X	Control	51000	8485,28137423857
P12.8X	Control	5000000	1414213,5623731
M10.4A	Control	405000	233345,237791561
M12.3A	Control	14050	8980,25612106915
P1.1X	Plastic	12550	4879,03679018718
P4.3X	Plastic	380000	155563,49186104
P4.7X	Plastic	10800	1838,47763108502
M13.5A	Plastic	65000	35355,3390593274
M13.7X	Plastic	2695000	77781,7459305202
M11.3X	Plastic	494000	90509,6679918781
P4.10X	Plastic	85000	5656,85424949238
CS5.4X	Plastic	83000	18384,7763108502
CS6.2X	Plastic	46500	17677,6695296637
M12.2X	Plastic	106500	26162,9509039023
P12.4X	Plastic	5605000	756604,255869606
P12.5X	Plastic	74500	21920,310216783
P12.8X	Plastic	17750000	1767766,95296637
M10.4A	Plastic	380000	56568,5424949238
M12.3A	Plastic	6700	4525,4833995939
